2026-05-12 04:54:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 05:00:00 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 05:23:20 | WARNING  | resource_monitor | CPU WARNING: 92.9%
2026-05-12 06:07:51 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-12 06:12:00 | WARNING  | resource_monitor | CPU WARNING: 82.0%
2026-05-12 09:56:41 | WARNING  | resource_monitor | CPU WARNING: 84.2%
2026-05-12 10:45:20 | ERROR    | resource_monitor | CPU CRITICAL: 95.0%
2026-05-12 11:13:49 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 02:00:07 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 02:00:39 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:01:10 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:01:41 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 02:02:12 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:12:55 | WARNING  | resource_monitor | CPU WARNING: 94.9%
2026-05-13 09:13:26 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:14:29 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:15:00 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:15:31 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:16:02 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:16:33 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:17:04 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:17:35 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:18:06 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:18:38 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:19:09 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:19:40 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:20:11 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:20:42 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:21:13 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:21:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:22:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:22:47 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:23:18 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:23:49 | ERROR    | resource_monitor | CPU CRITICAL: 97.1%
2026-05-13 09:24:20 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:24:51 | WARNING  | resource_monitor | CPU WARNING: 90.8%
2026-05-13 09:25:22 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:25:54 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:26:25 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:26:56 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:27:27 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:27:58 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:28:29 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:29:00 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:29:32 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:30:03 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:30:34 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:31:05 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:31:36 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:32:07 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:32:38 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:33:09 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:33:40 | ERROR    | resource_monitor | CPU CRITICAL: 97.1%
2026-05-13 09:34:11 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:34:43 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:35:14 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:35:45 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:36:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:36:47 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:37:18 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:37:49 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:38:20 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:38:51 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:39:23 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:39:54 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:40:25 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:40:56 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:41:27 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:41:58 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:42:30 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:43:01 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:43:32 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:44:03 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:44:34 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:45:05 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:45:36 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:46:08 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:46:39 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:47:10 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:47:41 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:48:12 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:48:43 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:49:14 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 09:49:45 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:50:17 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:50:48 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:51:19 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:51:50 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:52:21 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:52:52 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 09:53:23 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:53:54 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:54:25 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:54:57 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:55:28 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 09:55:59 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:56:30 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:57:01 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:57:32 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:58:03 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 09:58:35 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:59:06 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 09:59:37 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:00:08 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:00:39 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:01:10 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:01:42 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:02:13 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:02:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
